opbranch,route_code,route_short_name,route_long_name,route_type,route_color,route_text_color
6,Bx5,435,Bacchus Marsh Station - Darley Via Bacchus Marsh,3,FF8200,FFFFFF
6,BxW,,"Woomelang - Bendigo Via Wedderburn, Charlton, Birchip",3,FF8200,FFFFFF
6,C27,C27,Smythesdale - Delacombe Via Haddon,3,FF8200,FFFFFF
6,CL1,1,Colac - Elliminyt Via Lavers Hill Rd,3,FF8200,FFFFFF
6,CL3,3,Colac East - Colac Via Church St,3,FF8200,FFFFFF
6,CMO,,"Marengo - Colac Via Forrest, Skenes Creek, Apollo Bay",3,FF8200,FFFFFF
6,DWB,Wangaratta-Bright,Bright - Wangaratta Via Bright,3,FF8200,FFFFFF
6,Ec4,4,Echuca - Cunningham Downs Retirement Village Via Echuca,3,FF8200,FFFFFF
6,Ec5,5,Echuca - 24 Lane Via Moama,3,FF8200,FFFFFF
6,Eur,,Euroa - Shepparton Via Kialla,3,FF8200,FFFFFF
6,G01,1,"Deakin University - North Shore Station Via Thompson Rd, Colac Rd",3,FF8200,FFFFFF
6,G10,10,Lara South - Lara Station Via Forest Rd,3,FF8200,FFFFFF
6,G11,11,Lara East - Lara Station Via Rennie St,3,FF8200,FFFFFF
6,G12,12,Lara West - Lara Station Via Lara West,3,FF8200,FFFFFF
6,G19,19,"Bannockburn - Geelong Station Via Batesford, Gheringhap",3,FF8200,FFFFFF
6,G20,20,Corio SC - Geelong Station Via Melbourne Rd,3,FF8200,FFFFFF
6,G22,22,Geelong Station - North Shore Station Via Anakie Rd,3,FF8200,FFFFFF
6,G23,23,"Corio SC - North Shore Via Station St, Rosewall",3,FF8200,FFFFFF
6,G24,24,"Geelong Station - North Geelong Station Via Herne Hill, Newtown",3,FF8200,FFFFFF
6,G25,25,"Bell Post Hill - Geelong Station Via Autumn St, McCurdy Rd",3,FF8200,FFFFFF
6,G30,30,Whittington - Geelong Station Via Newcomb,3,FF8200,FFFFFF
6,G31,31,St Albans Park - Geelong Station Via St Albans Park,3,FF8200,FFFFFF
6,G32,32,Leopold - Geelong Station Via Bellarine Hwy,3,FF8200,FFFFFF
6,G40,40,"Deakin University - Geelong Station Via Breakwater, Grovedale",3,FF8200,FFFFFF
6,G41,41,Deakin University - Geelong Station Via Grovedale,3,FF8200,FFFFFF
6,G42,42,Deakin University - Geelong Station Via South Valley Rd,3,FF8200,FFFFFF
6,G43,43,Deakin University - Geelong Station Via Highton,3,FF8200,FFFFFF
6,G49,49,Kalkee Ret Village - Belmont Village SC Via Kalkee Ret Village,3,FF8200,FFFFFF
6,G50,50,"Jan Juc - Geelong Station Via Marshall Station, Wombah Park",3,FF8200,FFFFFF
6,G51,51,"Jan Juc - Geelong Station Via Torquay, Marshall Station",3,FF8200,FFFFFF
6,G55,55,"Ocean Grove - Geelong Station Via Marshall Station, Barwon Heads",3,FF8200,FFFFFF
6,G56,56,"Queenscliff - Geelong Station Via Leopold, Ocean Grove",3,FF8200,FFFFFF
6,G60,60,St Leonards - Geelong Station Via Portarlington,3,FF8200,FFFFFF
6,G61,61,"Drysdale - Geelong Station Via Clifton Springs, Leopold",3,FF8200,FFFFFF
6,GIV,,Inverleigh - Corio St/Moorabool St (Geelong) Via Fyansford,3,FF8200,FFFFFF
6,GVL,101,"Geelong - Apollo Bay Via Lorne, Torquay",3,FF8200,FFFFFF
6,H46,H46,Wangaratta - Glenrowan Via Wangaratta,3,FF8200,FFFFFF
6,HA2,2,Hamilton (Route 2) Via Kent Rd,3,FF8200,FFFFFF
6,HA3,3,Hamilton (Route 3) Via Ballarat Rd,3,FF8200,FFFFFF
6,HR1,1,Shirley Street - Natimuk Road Via Town Centre,3,FF8200,FFFFFF
6,HR2,2,"Shirley Street - Natimuk Road Via Town Centre, Hospital",3,FF8200,FFFFFF
6,HR3,3,South Bank - Wawunna Road Via Town Centre,3,FF8200,FFFFFF
6,HR4,4,Haven - Horsham Via Haven,3,FF8200,FFFFFF
6,HR5,5,Horsham Station - Roberts Ave Via Horsham Station,3,FF8200,FFFFFF
6,Hpt,,Penshurst - Hamilton Via Tarrington,3,FF8200,FFFFFF
6,KM1,,Kilmore East Railway Station - Kilmore Via Kilmore East Railway Station,3,FF8200,FFFFFF
6,KWR,,Koo-Wee-Rup - Pakenham Via Koo-Wee-Rup,3,FF8200,FFFFFF
6,KY1,1,Kyneton Town Centre - Kyneton Station Via Kyneton Town Centre,3,FF8200,FFFFFF
6,KY2,2,Kyneton Station - Kyneton Town Centre Via Kyneton Station,3,FF8200,FFFFFF
6,KY3,3,Kyneton Town Centre - Kyneton Station Via Kyneton Town Centre,3,FF8200,FFFFFF
6,KY4,4,Kyneton Town Centre - Trentham Via Kyneton Town Centre,3,FF8200,FFFFFF
6,KeE,,Kerang - Echuca Via Kerang,3,FF8200,FFFFFF
6,Kym,,Kyneton Town Centre - Malmsbury Via Kyneton Town Centre,3,FF8200,FFFFFF
6,L01,1,Moe - Traralgon Via Morwell,3,FF8200,FFFFFF
6,L02,2,Churchill - Morwell Via Churchill,3,FF8200,FFFFFF
6,L03,3,Churchill - Traralgon Via Churchill,3,FF8200,FFFFFF
6,L04,4,Boolarra - Churchill Via Yinnar,3,FF8200,FFFFFF
6,L05,5,"Moe - Traralgon Via Tyers, Yallourn Nth",3,FF8200,FFFFFF
6,L06,6,Traralgon South Via Traralgon South,3,FF8200,FFFFFF
6,L07,7,"Churchill - Traralgon Via Hazelwood Nth, Federation University",3,FF8200,FFFFFF
6,L08,8,Moe - Traralgon Via Morwell,3,FF8200,FFFFFF
6,L09,9,Churchill - Traralgon Via Churchill,3,FF8200,FFFFFF
6,L11,11,Moe West Via Moe West,3,FF8200,FFFFFF
6,L12,12,Moe South Via Moe South,3,FF8200,FFFFFF
6,L13,13,Moe North Via Moe North,3,FF8200,FFFFFF
6,L14,14,Moe Via Old Sale Rd,3,FF8200,FFFFFF
6,L15,15,Moe Via Dinwoodie Dr,3,FF8200,FFFFFF
6,L20,20,Morwell South Via Morwell South,3,FF8200,FFFFFF
6,L21,21,Morwell - Mid Valley SC Via Morwell,3,FF8200,FFFFFF
6,L22,22,Morwell - Mid Valley SC Via Hourigan Rd,3,FF8200,FFFFFF
6,L30,30,Churchill Town Service Via Churchill Town Service,3,FF8200,FFFFFF
6,L40,40,Traralgon Plaza SC Via Cross's Rd,3,FF8200,FFFFFF
6,L41,41,Traralgon West Via Traralgon West,3,FF8200,FFFFFF
6,L42,42,Southside Via Southside,3,FF8200,FFFFFF
6,L43,43,Traralgon East Via Traralgon East,3,FF8200,FFFFFF
6,L44,44,Traralgon Plaza SC Via Ellavale Dr,3,FF8200,FFFFFF
6,L45,45,Traralgon North Via Traralgon North,3,FF8200,FFFFFF
6,LGs,,Lancefield -  Gisborne Town Centre Via Lancefield,3,FF8200,FFFFFF
6,La1,1,Lakes Entrance - Kalimna Via Lakes Entrance,3,FF8200,FFFFFF
6,La2,2,Lakes Entrance - Lakes Entrance (North) Via Lakes Entrance,3,FF8200,FFFFFF
6,La3,3,Lakes Entrance - Lakes Entrance (East) Via Lakes Entrance,3,FF8200,FFFFFF
6,LcS,,Lancefield - Sunbury Via Lancefield,3,FF8200,FFFFFF
6,M40,400,Mildura Central SC Via East Mildura,3,FF8200,FFFFFF
6,M41,401,Mildura City Via East Mildura,3,FF8200,FFFFFF
6,M50,500,Mildura Central SC Via West Mildura,3,FF8200,FFFFFF
6,M51,501,Mildura City Via West Mildura,3,FF8200,FFFFFF
6,M60,600,Mildura Central SC Via Mildura Central SC,3,FF8200,FFFFFF
6,M61,601,Mildura Central SC Via Mildura South,3,FF8200,FFFFFF
6,M62,602,Mildura City Via Mildura City,3,FF8200,FFFFFF
6,MB3,3,Pascoe - Maryborough Via Loch St,3,FF8200,FFFFFF
6,MB4,4,Maryborough Education Centre - Maryborough Via Gladstone St,3,FF8200,FFFFFF
6,MLH,,"Horsham - Mildura Via Ouyen, Warracknabeal",3,FF8200,FFFFFF
6,MUR,,Rupanyup Via Rupanyup,3,FF8200,FFFFFF
6,Ma1,,Glassford Street - Maffra Post Office Via Maffra Hospital,3,FF8200,FFFFFF
6,Mab,,Maryborough - Maryborough Station Via Maryborough,3,FF8200,FFFFFF
6,MiS,,Mildura - Sea Lake Via Ouyen,3,FF8200,FFFFFF
6,MtB,,"Mt Beauty - Albury Via Baranduda, Kergunya, Tawonga South",3,FF8200,FFFFFF
6,MtE,,Mt Egerton - Ballarat Via Gordon,3,FF8200,FFFFFF
6,Mx1,1,Hedges - Maryborough Via Derby Rd,3,FF8200,FFFFFF
6,Mx2,2,Princes Park/Whirrakee - Maryborough Via Holyrood St,3,FF8200,FFFFFF
6,Nar,,"Naracoorte - Horsham Via Natimuk, Goroke, Edenhope",3,FF8200,FFFFFF
6,Ouy,,Ouyen - Pinnaroo Via Mallee Hwy,3,FF8200,FFFFFF
6,PT1,1,Portland Via Portland,3,FF8200,FFFFFF
6,PT2,2,Portland Via Portland,3,FF8200,FFFFFF
6,R01,,Restdown Retirement Village Via Restdown Retirement Village,3,FF8200,FFFFFF
6,R11,,"Donald - Horsham Via Murtoa, Rupanyup, Minyip",3,FF8200,FFFFFF
6,R12,,Swan Hill - Sea Lake Via Lake Boga or Ultima,3,FF8200,FFFFFF
6,R13,,Birchip - Horsham Via Warracknabeal,3,FF8200,FFFFFF
6,R14,,"Hopetoun - Horsham Via Dimboola, Rainbow",3,FF8200,FFFFFF
6,R21,,Robinvale - Mildura Via Euston,3,FF8200,FFFFFF
6,R22,,"Ballarat - Stawell Via Ararat, Beaufort",3,FF8200,FFFFFF
6,R30,5,"Taradale - Castlemaine Via Chewton, Elphinstone",3,FF8200,FFFFFF
6,R36,3,Castlemaine - Harcourt Via Castlemaine,3,FF8200,FFFFFF
6,R37,2,Castlemaine Via Castlemaine Hospital,3,FF8200,FFFFFF
6,R53,,Cheshunt - Wangaratta Via Wangaratta - Whitfield Rd,3,FF8200,FFFFFF
6,R54,Dudley,Wonthaggi Via Dudley,3,FF8200,FFFFFF
6,R95,,Kyneton - Woodend Via Kyneton,3,FF8200,FFFFFF
6,RsK,,Kyneton Town Centre - Lancefield Via Kyneton Town Centre,3,FF8200,FFFFFF
6,S01,1,Stawell South Via Stawell South,3,FF8200,FFFFFF
6,S02,2,Stawell North Via Stawell North,3,FF8200,FFFFFF
6,SBO,,Bendigo Station - Shepparton Station Via Bendigo Station,3,FF8200,FFFFFF
6,SY1,1,Seymour East Via Seymour East,3,FF8200,FFFFFF
6,SY2,2,Seymour North Via Seymour North,3,FF8200,FFFFFF
6,SY3,3,Puckapunyal Via Puckapunyal,3,FF8200,FFFFFF
6,SY4,4,Seymour (AM peak) Via Seymour (AM peak),3,FF8200,FFFFFF
6,SY5,5,Seymour Nth East (PM peak) Via Seymour Nth East (PM peak),3,FF8200,FFFFFF
6,Sea,,Seaspray - Sale Via Longford,3,FF8200,FFFFFF
6,Sh1,1,Parkside Gardens Via GV Health,3,FF8200,FFFFFF
6,Sh2,2,Parkside Gardens Via The Boulevard,3,FF8200,FFFFFF
6,Sh3,3,GOTAFE William Orr Campus - Shepparton Via Golf Drive,3,FF8200,FFFFFF
6,Sh4,4,Shepparton - Connolly Park Via Shepparton,3,FF8200,FFFFFF
6,Sh5,5,Shepparton - Archer Via Shepparton,3,FF8200,FFFFFF
6,Sh6,6,Shepparton - South East Via Shepparton,3,FF8200,FFFFFF
6,Sh7,7,Shepparton - Marketplace Via Shepparton,3,FF8200,FFFFFF
6,Sh8,8,Shepparton - Kialla Via Shepparton,3,FF8200,FFFFFF
6,Sh9,9,Aquamoves - Shepparton Via Aquamoves,3,FF8200,FFFFFF
6,StA,,Stawell - St Arnaud Via Ararat,3,FF8200,FFFFFF
6,StH,,Stawell - Horsham Via Western Hwy,3,FF8200,FFFFFF
6,StS,,Stawell - St Arnaud Via Marnoo,3,FF8200,FFFFFF
6,Tal,,"Tallangatta - Albury Via Killara, Bonegilla, Red Bluff",3,FF8200,FFFFFF
6,Tim,,Timboon - Camperdown Via Camperdown - Cobden Rd,3,FF8200,FFFFFF
6,V63,V63,Eildon - Alexandra Via Thornton,3,FF8200,FFFFFF
6,W04,404,Yarrunga - Wangaratta Via Mason St,3,FF8200,FFFFFF
6,W12,Wallan Link A,Wallan Station Link A Via Wallan Central,3,FF8200,FFFFFF
6,W80,80,Warragul South - Warragul Station Via Warragul South,3,FF8200,FFFFFF
6,W81,81,Warragul North - Warragul Station Via Warragul North,3,FF8200,FFFFFF
6,W82,82,Warragul North - Warragul Station Via Warragul North,3,FF8200,FFFFFF
6,W83,83,Warragul East - Warragul Station Via Warragul East,3,FF8200,FFFFFF
6,W85,85,Warragul Station - Drouin Station Via Warragul Station,3,FF8200,FFFFFF
6,W86,86,Drouin North - Drouin Station Via Drouin North,3,FF8200,FFFFFF
6,W89,89,Noojee - Warragul Station Via Buln Buln,3,FF8200,FFFFFF
6,WGP,,"Poowong East - Warragul Via Poowong, Athlone, Drouin",3,FF8200,FFFFFF
6,WN1,Wallan 1,Wallan Station - Wallan Central Via Wallan Station,3,FF8200,FFFFFF
6,WN2,Wallan 2,Wallan Station - Springridge Via Wallan Station,3,FF8200,FFFFFF
6,WN3,Wallan 3,Wallan Station - Wallara Waters Shuttle Via Wallan Station,3,FF8200,FFFFFF
6,WPC,,Timboon - Warrnambool Via Port Campbell,3,FF8200,FFFFFF
6,WoE,E,East Wodonga Via East Wodonga,3,FF8200,FFFFFF
6,WoS,S,South Wodonga Via South Wodonga,3,FF8200,FFFFFF
6,Woo,,Woods Point - Mansfield Via Jamieson,3,FF8200,FFFFFF
6,Wyc,,Wycheproof - Swan Hill Via Lalbert,3,FF8200,FFFFFF
6,YFR,,Yarrawonga Via GP,3,FF8200,FFFFFF
6,a18,12,Gelantipy - Bairnsdale Via Lakes Entrance,3,FF8200,FFFFFF
6,a19,4,Sale Station Via Reeve Street,3,FF8200,FFFFFF
6,a20,401,West End - Wangaratta Via West End,3,FF8200,FFFFFF
6,a21,402,Yarrunga - Wangaratta Via Murdoch Rd,3,FF8200,FFFFFF
6,a22,403,Yarrawonga Road - Wangaratta Via Yarrawonga Road,3,FF8200,FFFFFF
6,a23,,Albury/Wodonga - Corryong Via Walwa,3,FF8200,FFFFFF
6,a25,,Hamilton - Portland Via Heywood,3,FF8200,FFFFFF
6,a28,tv,Tooleybuc - Swan Hill Via Nyah West,3,FF8200,FFFFFF
6,a29,,Bendigo - Ballarat Via Maryborough,3,FF8200,FFFFFF
6,a30,7,Loch Sport - Sale Via Longford,3,FF8200,FFFFFF
6,a31,7,"Beechworth - Albury Via Wodonga, Yackandandah",3,FF8200,FFFFFF
6,a32,2,Bairnsdale Via East Bairnsdale,3,FF8200,FFFFFF
6,a33,3,Bairnsdale Via Wy Yung,3,FF8200,FFFFFF
6,a34,,"Fountain Gate - Cowes Via San Remo, Pakenham",3,FF8200,FFFFFF
6,a36,1,Westwood Park - Echuca Via Echuca South,3,FF8200,FFFFFF
6,a37,2,Echuca Via Echuca,3,FF8200,FFFFFF
6,a38,3,Echuca Via Moama,3,FF8200,FFFFFF
6,a39,3,"Mooroopna Park Via Echuca Rd, Gange St",3,FF8200,FFFFFF
6,a40,1,Shepparton - Mooroopna Via McLennan St,3,FF8200,FFFFFF
6,a42,1,Swan Hill North Via Swan Hill North,3,FF8200,FFFFFF
6,a43,2,Swan Hill South Via Swan Hill South,3,FF8200,FFFFFF
6,a44,,Albury - Myrtleford Via Wodonga,3,FF8200,FFFFFF
6,a47,,"Cowes - Wonthaggi Via Anderson, San Remo",3,FF8200,FFFFFF
6,a48,North,Wonthaggi Via North Wonthaggi,3,FF8200,FFFFFF
6,a49,South,Wonthaggi Via South Wonthaggi,3,FF8200,FFFFFF
6,a50,,Alvie - Colac Via Coragulac,3,FF8200,FFFFFF
6,alb,,Ararat - Lake Bolac Via Willaura,3,FF8200,FFFFFF
6,alc,,"Corowa - Albury Via Barnawartha, Rutherglen",3,FF8200,FFFFFF
6,c06,6,Chewton - Castlemaine Via Loddon Prison,3,FF8200,FFFFFF
6,cc2,2,Colac - Colac West Via Fyans St,3,FF8200,FFFFFF
6,cob,,Cobram Via Cobram,3,FF8200,FFFFFF
6,dpc,,Deer Park Station - Caroline Springs Station Via Deer Park Station,3,FF8200,FFFFFF
6,gld,Goldrush,Sovereign Hill - Ballarat Station Via Sovereign Hill,3,FF8200,FFFFFF
6,gvc,,Grantville - Coronet Bay Via Grantville,3,FF8200,FFFFFF
6,hea,,"Heathcote - Bendigo Via Junortoun, Axedale, Knowsley",3,FF8200,FFFFFF
6,hep,,Creswick - Hepburn Via Daylesford,3,FF8200,FFFFFF
6,mal,,Genoa - Mallacoota Via Gipsy Point,3,FF8200,FFFFFF
6,ome,,Bright - Omeo Via Hotham Heights,3,FF8200,FFFFFF
6,rok,,"Ballarat - Rokewood Via Dereel, Enfield, Napoleons",3,FF8200,FFFFFF
6,s05,5,Glebe Estate - Sale Via Port of Sale,3,FF8200,FFFFFF
6,s06,6,Glenhaven Park - Sale Via Port of Sale,3,FF8200,FFFFFF
6,w13,,Moe - Albert St Via Moe - Albert St,3,FF8200,FFFFFF
6,w19,,Garfield Station Via Garfield Station,3,FF8200,FFFFFF
6,w20,,Moe Station Via Moe Station,3,FF8200,FFFFFF
6,w28,,Nar Nar Goon Station Via Nar Nar Goon Station,3,FF8200,FFFFFF
6,w30,,Traralgon Station Via Traralgon Station,3,FF8200,FFFFFF
6,w31,,Warragul Station Via Warragul Station,3,FF8200,FFFFFF
6,w32,,Newborough TAFE - Yallourn Via Newborough TAFE - Yallourn,3,FF8200,FFFFFF
6,w33,,Traralgon Plaza Via Traralgon Plaza,3,FF8200,FFFFFF
6,w34,,Moe Bus Interchange Via Moe Bus Interchange,3,FF8200,FFFFFF
6,w35,,Drouin North Via Drouin North,3,FF8200,FFFFFF
6,w36,,Drouin North Via Drouin North,3,FF8200,FFFFFF
6,w37,,Drouin North Via Drouin North,3,FF8200,FFFFFF
6,w38,,Drouin North Via Drouin North,3,FF8200,FFFFFF
6,w39,,Drouin North Via Drouin North,3,FF8200,FFFFFF
6,w40,,Garfield Station Via Garfield Station,3,FF8200,FFFFFF
6,w41,,Pakenham Station Via Pakenham Station,3,FF8200,FFFFFF
6,w76,,Warragul Station Via Warragul Station,3,FF8200,FFFFFF
6,w77,,Drouin Station Via Drouin Station,3,FF8200,FFFFFF
6,woM,M,Wodonga Via Mayfair Drive,3,FF8200,FFFFFF
6,wr1,1,Dennington - Warrnambool Via Dennington,3,FF8200,FFFFFF
6,wr2,2,Gateway Plaza - Warrnambool Via Centro,3,FF8200,FFFFFF
6,wr3,3,Deakin University - Warrnambool Via Deakin University,3,FF8200,FFFFFF
6,wr4,4,Tower Square - Warrnambool Via Tower Square,3,FF8200,FFFFFF
6,wr5,5,Lake Pertobe Loop Via Lake Pertobe Loop,3,FF8200,FFFFFF
6,wr6,6,Merrivale - Warrnambool Via Merrivale,3,FF8200,FFFFFF
6,wr8,8,Port Fairy - Warrnambool Via Port Fairy,3,FF8200,FFFFFF
6,wr9,9,Allansford - Warrnambool Via Allansford,3,FF8200,FFFFFF
6,x45,45,Armstrong Creek - Waurn Ponds SC Via Waurn Ponds Station,3,FF8200,FFFFFF
6,x89,1,Castlemaine Via Campbells Creek,3,FF8200,FFFFFF
6,xM4,4,Maldon - Castlemaine Via Maldon,3,FF8200,FFFFFF
7,B01,TeleBus 1,Chirnside Park SC - Lilydale Station,3,FF8200,FFFFFF
7,B02,TeleBus 2,Chirnside Park SC - Mooroolbark Station,3,FF8200,FFFFFF
7,B03,TeleBus 3,Chirnside Park SC - Mooroolbark Station,3,FF8200,FFFFFF
7,B04,TeleBus 4,Croydon Station - Mooroolbark Station,3,FF8200,FFFFFF
7,B07,TeleBus 7,Stud Park - Ferntree Gully Station,3,FF8200,FFFFFF
7,B08,TeleBus 8,Stud Park - Ferntree Gully Station,3,FF8200,FFFFFF
7,B09,TeleBus 9,Stud Park,3,FF8200,FFFFFF
8,941,941,Watergardens - City,3,FF8200,FFFFFF
8,941A,941,Watergardens - City,3,FF8200,FFFFFF
8,943,943,Melton - Watergardens Station,3,FF8200,FFFFFF
8,943A,943,Melton - Watergardens Station,3,FF8200,FFFFFF
8,945,945,Wyndham Vale - City,3,FF8200,FFFFFF
8,945A,945,Wyndham Vale - City,3,FF8200,FFFFFF
8,951,951,Glenroy - City,3,FF8200,FFFFFF
8,951A,951,Glenroy - City,3,FF8200,FFFFFF
8,953,953,Craigieburn - Broadmeadows,3,FF8200,FFFFFF
8,953A,953,Craigieburn - Broadmeadows,3,FF8200,FFFFFF
8,955,955,Mernda - City,3,FF8200,FFFFFF
8,955A,955,Mernda - City,3,FF8200,FFFFFF
8,961,961,Doncaster - City,3,FF8200,FFFFFF
8,961A,961,Doncaster - City,3,FF8200,FFFFFF
8,961B,961,Doncaster - City,3,FF8200,FFFFFF
8,963,963,Lilydale - Ringwood,3,FF8200,FFFFFF
8,963A,963,Lilydale - Ringwood,3,FF8200,FFFFFF
8,964,964,Lilydale - Croydon,3,FF8200,FFFFFF
8,964A,964,Lilydale - Croydon,3,FF8200,FFFFFF
8,965,965,Healesville - Healesville,3,FF8200,FFFFFF
8,965A,965,Healesville - Healesville,3,FF8200,FFFFFF
8,967,967,Bayswater - Glen Waverley,3,FF8200,FFFFFF
8,967A,967,Bayswater - Glen Waverley,3,FF8200,FFFFFF
8,970A,970,Rosebud - Carrum,3,FF8200,FFFFFF
8,978A,978,Dandenong - Elsternwick Station,3,FF8200,FFFFFF
8,981A,981,Cranbourne - Dandenong,3,FF8200,FFFFFF
8,982A,982,Cranbourne - Dandenong,3,FF8200,FFFFFF
